Source,Target,Weight,Country
C Munro,SP Narine,18,New Zealand
C Munro,A Mishra,18,New Zealand
C Munro,GJ Bailey,18,New Zealand
C Munro,MC Henriques,18,New Zealand
C Munro,Babar Azam,18,New Zealand
C Munro,Sohail Tanvir,18,New Zealand
C Munro,Hasan Ali,18,New Zealand
C Munro,CAK Walton,18,New Zealand
C Munro,KOK Williams,18,New Zealand
C Munro,Rumman Raees,18,New Zealand
C Munro,Rubel Hossain,18,New Zealand
C Munro,JDS Neesham,18,New Zealand
C Munro,JT Smuts,18,New Zealand
C Munro,M Klinger,18,New Zealand
C Munro,Kamran Akmal,18,New Zealand
C Munro,Shadab Khan,18,New Zealand
C Munro,T Shamsi,18,New Zealand
C Munro,DJ Malan,18,New Zealand
C Munro,KD Karthik,18,New Zealand
C Munro,Kuldeep Yadav,18,New Zealand
C Munro,Sohail Khan,18,New Zealand
C Munro,DT Christian,18,New Zealand
GD Elliott,NLTC Perera,11,New Zealand
GD Elliott,L Ronchi,11,New Zealand
GD Elliott,MJ Henry,11,New Zealand
GD Elliott,MJ McClenaghan,11,New Zealand
GD Elliott,IS Sodhi,11,New Zealand
GD Elliott,Mohammad Shahzad,11,New Zealand
GD Elliott,Mohammad Nabi,11,New Zealand
GD Elliott,Rashid Khan,11,New Zealand
GD Elliott,MJ Santner,11,New Zealand
GD Elliott,AF Milne,11,New Zealand
GD Elliott,Mohammad Hafeez,11,New Zealand
GD Elliott,Ahmed Shehzad,11,New Zealand
GD Elliott,Shoaib Malik,11,New Zealand
GD Elliott,Umar Akmal,11,New Zealand
GD Elliott,Shahid Afridi,11,New Zealand
GD Elliott,Imad Wasim,11,New Zealand
GD Elliott,Wahab Riaz,11,New Zealand
GD Elliott,Mohammad Amir,11,New Zealand
GD Elliott,Tamim Iqbal,11,New Zealand
GD Elliott,Sabbir Rahman,11,New Zealand
GD Elliott,Shakib Al,11,New Zealand
GD Elliott,Mahmudullah,11,New Zealand
GD Elliott,Mashrafe Mortaza,11,New Zealand
